cl_id,cl_tracked,cl_fraud,cl_refunded,cb_amount,rf_amount,pv,revenue,email,co_name,gender,datecl,payment_method,mid,pid,card_brand,ps_id,pss_id
5120,0,1,0,49.28,24.8,2000.08,341.44,tristan.gill@example.com,Canada,male,2021-02-27,Mobile,106,1226,JBC,15,54
8318,1,0,0,17.92,8.32,4446.48,95.16,christina.lange@example.com,Germany,female,2021-01-19,Bank transfers,266,1059,Amex,10,52
9663,1,0,0,45.36,49.4,1862.8,790.12,salvador.carr@example.com,United States,male,2021-02-05,E-Wallet,75,1270,Visa,11,100
1812,0,0,0,20.88,1.32,4403.84,946.4,armyt.hydry@example.com,Iran,female,2021-02-21,E-Wallet,140,1184,MasterCard,56,39
9726,0,1,0,26.84,4.64,4652.16,721.6,gebhard.heyne@example.com,Germany,male,2021-02-27,Bank transfers,52,1049,Visa,62,54
6973,0,1,1,46.52,47.64,2106.52,338.8,mattie.richardson@example.com,United States,female,2021-03-31,Credit cards,235,1238,Amex,90,1
627,0,0,1,47.4,32.76,2246.44,953.8,murat.schweikert@example.com,Germany,male,2021-01-12,Bank transfers,238,1187,Visa,19,43
7336,1,1,1,3.12,3,2102.56,755.12,eetu.mikkola@example.com,Finland,male,2021-03-21,Credit cards,39,1107,JBC,36,99
7419,0,1,0,38.84,9.68,3938.84,428.28,fatih.tuglu@example.com,Turkey,male,2021-03-03,Credit cards,249,1075,MasterCard,8,37
3729,1,0,0,32.44,43.48,1824.76,681.2,maxime.tremblay@example.com,Canada,male,2021-01-28,Mobile,282,1241,Visa,48,29
5066,0,0,0,48.04,32.2,3061.24,758.4,feiko.erdem@example.com,Netherlands,male,2021-04-01,Credit cards,189,1045,Amex,91,40
3249,0,1,1,2.24,7.4,2785.48,380.84,nicolau.pereira@example.com,Brazil,male,2021-01-22,Prepaid cards,64,1052,JBC,25,90
5993,1,1,1,25.96,12.52,4968.88,892.96,emmi.lauri@example.com,Finland,female,2021-01-31,Credit cards,185,1068,JBC,9,70
6200,1,1,0,16.24,34.08,3976.6,154.12,armyt.jaafry@example.com,Iran,female,2021-01-29,E-Wallet,131,1147,Amex,92,34
6928,1,1,0,45.32,7.48,1166.52,404.08,alba.lambert@example.com,Switzerland,female,2021-03-15,Bank transfers,256,1253,MasterCard,77,80
7109,1,1,0,5.48,30.68,2385.92,278.16,armyn.aalyzdh@example.com,Iran,male,2021-01-29,Credit cards,55,1268,Visa,28,31
6703,1,1,1,41.36,41,1740.88,688.44,addison.martin@example.com,New Zealand,female,2021-01-25,Mobile,58,1201,MasterCard,7,71
1988,1,0,1,9.12,27.68,3783.56,633.2,darlene.jacobs@example.com,Australia,female,2021-02-08,Prepaid cards,114,1142,Amex,9,60
